Site_plot,2015 mean height (cm),2015 mean crown base height (cm),2015 crown length (cm),2015 basal area (m2/ha),2016 mean height (cm),2016 mean crown base height (cm),2016 crown length (cm),2016 basal area (m2/ha),2017 mean height (cm),2017 mean crown base height (cm),2017 crown length (cm),2017 basal area (m2/ha),2018 mean height (cm),2018 mean crown base height (cm),2018 crown length (cm),2018 basal area (m2/ha),2019 mean height (cm),2019 mean crown base height (cm),2019 crown length (cm),2019 basal area (m2/ha),2020 mean height (cm),2020 mean crown base height (cm),2020 crown length (cm),2020 basal area (m2/ha)
B_J29,114.4166667,17.97222222,96.44444444,9.244823607,120.3055556,21.38888889,98.91666667,12.57131208,136.1666667,12.72222222,123.4444444,20.49313248,88.72222222,12.66666667,76.05555556,10.72448102,86.47222222,16.58333333,69.88888889,9.872454914,61.63888889,15.27777778,46.36111111,4.709509187
B_M22,185.4444444,52.08333333,133.3611111,8.5739954,217.3611111,45.91666667,171.4444444,12.01385053,237.8888889,53.83333333,184.0555556,12.58597284,249.7222222,59.77777778,189.9444444,19.04747626,269.4166667,76.52777778,192.8888889,19.62808185,269.5833333,80.97222222,188.6111111,20.33582377
B_M24,135.3055556,25.25,110.0555556,10.1234878,144.0833333,25.72222222,118.3611111,13.57583633,157.6388889,34.44444444,123.1944444,17.2878244,174.6111111,51.33333333,123.2777778,19.01412956,187.3333333,60.97222222,126.3611111,21.44385695,189.0555556,55.16666667,133.8888889,22.46461277
B_M29,172.2777778,11.58333333,160.6944444,14.28069846,197.9722222,38.5,159.4722222,18.77998044,182.7777778,22.5,160.2777778,21.59125001,220.0833333,27.58333333,192.5,24.17599537,136.0833333,28.58333333,107.5,10.54649016,142.1666667,28.75,113.4166667,13.63163232
B_M7,197.5833333,40.61111111,156.9722222,3.89770201,189.6111111,40.19444444,149.4166667,3.255859905,165.4444444,26.47222222,138.9722222,3.757475713,159.0833333,59.08333333,100,5.040194539,135.9166667,47.61111111,88.30555556,4.886747373,120.1666667,53.16666667,67,4.317857303
B_N28,22.30555556,14.16666667,8.138888889,0.246385949,12.66666667,7.444444444,5.222222222,0.108581296,12.05555556,6.833333333,5.222222222,0.114929931,8.055555556,4.666666667,3.388888889,0.151352771,7.333333333,5.083333333,2.25,0.142680666,3.277777778,1.805555556,1.472222222,0.081812309
B_N5,106.1666667,75.27777778,30.88888889,1.9883009,100.3055556,56.88888889,43.41666667,1.738707909,112.7222222,69.36111111,43.36111111,2.01834238,94.08333333,60.41666667,33.66666667,2.09950019,102.2638889,53.84722222,48.41666667,2.199507557,102.3055556,51.91666667,50.38888889,2.419419042
B_O27,173.9166667,15.69444444,158.2222222,13.09124566,197.6666667,13.16666667,184.5,17.21029905,216.5,21.52777778,194.9722222,23.63187806,236.5833333,49.88888889,186.6944444,28.7285231,258.8333333,44.22222222,214.6111111,33.68847612,264.1666667,54.61111111,209.5555556,34.68288837
B_O31,234.0833333,29.36111111,204.7222222,18.31908491,243.3333333,51.44444444,191.8888889,20.42048315,279.5,81.69444444,197.8055556,25.79391558,316.3611111,100.5833333,215.7777778,32.59844165,327.9722222,59.83333333,268.1388889,36.17452311,352.6944444,128.8055556,223.8888889,38.8719731
B_Q17,198.4722222,32.80555556,165.6666667,10.08834123,228.7777778,57.44444444,171.3333333,14.0602961,264.5555556,56.44444444,208.1111111,18.99537818,293.3333333,84.61111111,208.7222222,25.45727429,325.3888889,78.61111111,246.7777778,30.13238959,330.4166667,77.05555556,253.3611111,32.2000157
B_Q23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Q27,395.8333333,196.75,199.0833333,13.53460293,464.7222222,214.7222222,250,18.16969564,529.6111111,337.3611111,192.25,21.88616702,609.4722222,228.9166667,380.5555556,28.00523684,627.1388889,306.8055556,320.3333333,27.6691846,713.3055556,411.0555556,302.25,27.58684869
B_Q29,56.66666667,25.5,31.16666667,1.699012577,68.22222222,27.80555556,40.41666667,2.175111126,77.45179667,32.77580364,44.67599304,3.815742365,90.15359335,24.55160727,65.60198608,9.032179815,101.8055556,28.48611111,73.31944444,10.68812363,106.0833333,32.27777778,73.80555556,12.18967402
B_R29,164.8611111,24.41666667,140.4444444,5.1956052,188.8055556,42.19444444,146.6111111,7.775539992,223.3055556,38.58333333,184.7222222,11.27766313,280.2222222,80.83333333,199.3888889,16.90455009,332.0416667,77.70833333,254.3333333,19.6288018,366.5,97.58333333,268.9166667,21.019022
B_R3,88.88888889,8.25,80.63888889,4.506058338,105,7.638888889,97.36111111,6.58575995,111.5690694,16.68634374,94.8827257,11.09150753,130.1381389,22.95602081,107.1821181,15.91145866,125.5014541,19.91165098,105.5898031,17.50000311,139.5,31.83333333,107.6666667,19.45130181
B_S18,27.80555556,15.94444444,11.86111111,0.292200842,27.85023497,12.73522468,15.11501029,0.554178457,30.21302536,11.36731177,18.84571359,0.644158802,32.97222222,10.83333333,22.13888889,0.767334006,26.97222222,10.41666667,16.55555556,0.437204978,26.11111111,7.361111111,18.75,0.499775031
B_S22,81.25,18.86111111,62.38888889,3.449828708,90.58333333,21.16666667,69.41666667,4.32328964,97.22222222,24.86111111,72.36111111,5.851085418,116.8888889,23.02777778,93.86111111,8.181918092,112.4722222,19.19444444,93.27777778,9.148317807,108.7222222,25.47222222,83.25,10.19289736
B_T10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_T13,2.245822267,1.113253327,1.13256894,0.006007961,2.472222222,1.361111111,1.111111111,0.007101308,3.638888889,1.694444444,1.944444444,0.013351769,4.5,2.388888889,2.111111111,0.017933258,6.583333333,2.263888889,4.319444444,0.014431691,4.75,2.083333333,2.666666667,0.020289453
B_T29,34.45662544,6.870883804,27.58574163,0.430264329,50.75457259,8.680380188,42.0741924,0.885860531,63.52483988,13.8388876,49.68595228,1.212529026,38.91173085,8.452382232,30.45934862,1.030118407,35.80555556,7.083333333,28.72222222,1.097103059,38.86111111,9.555555556,29.30555556,1.378766476
B_T8,69.41930168,9.522576535,59.89672514,3.306581713,81.58860477,10.61114663,70.97745813,4.40439836,100.9305556,11.84722222,89.08333333,5.867390611,123.3611111,17.5,105.8611111,7.605926714,140.3888889,16.83333333,123.5555556,9.742995117,151.3611111,27.30555556,124.0555556,11.77992525
B_U16,193.0277778,30.75,162.2777778,15.36219173,220.2083333,50.58333333,169.625,17.99642535,234.9166667,46.19444444,188.7222222,22.63648407,189.4722222,40.22222222,149.25,18.44942828,92.27777778,13.58333333,78.69444444,9.550179868,36.97222222,10.88888889,26.08333333,3.624088925
B_U27,34.86111111,21.97222222,12.88888889,0.541728383,34.16666667,22.22222222,11.94444444,0.623082543,12.52777778,6.083333333,6.444444444,0.243342531,4.055555556,3.333333333,0.722222222,0.117809725,0,0,0,0,0,0,0,0
B_V15,14.6407087,7.173265291,7.467443411,0.217650725,11.02777778,9.25,1.777777778,0.175176515,13.9509896,9.570775307,4.380214297,0.264356966,16.92975699,7.280439503,9.649317483,0.341219157,18.38783827,8.30863787,10.0792004,0.401421366,19.94444444,10.05555556,9.888888889,0.537212344
B_V19,60.33280823,12.26393393,48.06887429,2.279628633,75.00077093,22.71798058,52.28279035,3.147241385,80.37528,27.59416299,52.78111702,4.021971708,79.61951216,25.74403003,53.87548213,6.308934116,86.70109578,27.07499815,59.62609763,7.007822833,92.66666667,29.05555556,63.61111111,8.549844407
B_V23,337.0837614,151.6431658,185.4405956,14.47192528,382.7222222,185.8333333,196.8888889,18.21917572,417.4722222,160,257.4722222,23.39420513,423.1666667,165.1666667,258,27.40712341,471.6111111,308.6388889,162.9722222,34.00054099,543.0277778,248.5833333,294.4444444,33.48145826
B_V24,304.0555556,74.25,229.8055556,12.45157158,335.6111111,104.0277778,231.5833333,15.26450783,361.1388889,117.1666667,243.9722222,18.70792245,384.9166667,117.6388889,267.2777778,21.87612047,424.4722222,159.2222222,265.25,26.36332925,442.4444444,157.5277778,284.9166667,28.77744686
B_W10,31.25722298,12.65397787,18.60324511,0.328890268,36.22910446,9.778025495,26.45107896,0.467026775,38.50005349,12.4289662,26.07108729,0.518164889,34.82254894,13.64385833,21.17869061,0.808141105,30.43423777,10.23263658,20.20160119,0.770901279,31.55555556,10.83333333,20.72222222,0.862759882
B_W11,310.5,76.86111111,233.6388889,23.91066169,317.1111111,10.77777778,306.3333333,27.46403205,332.0833333,88.05555556,244.0277778,32.61549133,337.2222222,90.19444444,247.0277778,34.34690158,355.5,116.7777778,238.7222222,36.59435115,355.9166667,115.0277778,240.8888889,39.35761096
B_X21,34.93264933,9.281308306,25.65134103,0.278952613,36.49532416,12.40766793,24.08765622,0.330523483,41.35855071,11.28462328,30.07392743,0.52046741,38.36436879,12.60459443,25.75977437,0.624182445,39.90584079,13.14961333,26.75622747,0.708739417,44.83333333,12.88888889,31.94444444,1.070104998
B_Y9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
