PLOT_NO;TREE_R;TREE_CMP;ALTITUDE;EASTNESS;NORTHNESS;SLOPE;CURV_PR;CURV_PL
G24;1;K. bipinnata;182.05;0.795473471;0.605988413;33.27;6.07279;7.77655
G25;1;K. bipinnata;184.43;0.996834627;-0.079502994;33.68;17.5685;-14.1766
G26;4;C. sclerophylla_Ch. axillaris_Q. serrata_S. sebiferum;188.54;0.98665754;0.162809396;24.72;-38.26;8.25001
G27;4;C. sclerophylla_Ch. axillaris_Q. serrata_S. sebiferum;180.57;-0.026002421;-0.99966188;28.06;-26.073;7.76099
G28;0;;168.79;-0.048849715;-0.99880614;21.63;26.6477;-0.51104
G29;0;;160.49;0.04850117;-0.998823126;16.05;7.31309;-12.3167
G30;2;L. formosana_S. mukorossi;154.13;0.33347784;-0.942757938;15.27;-6.39875;-20.6097
G31;2;L. formosana_S. mukorossi;144.53;0.305695351;-0.952129378;20.1;-14.0696;5.22526
G32;4;D. glaucifolia_N. sinensis_S. discolor_S. superba;136.93;0.342676134;-0.9394536;14.37;-5.66891;-20.0331
G33;1;Q. serrata;134.62;-0.121522817;-0.992588638;8.5;-90.6684;56.0286
G34;16;A. davidii_C. henryi_C. carlesii_C. eyrei_Ch. axillaris_C. glauca_C. myrsinaefolia_D. glaucifolia_L. formosana_L. glaber_Q. acutissima_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. discolor;131.26;-0.113029746;-0.993591605;17.19;-57.6016;90.4348
H10/I10;2;C. sclerophylla_C. glauca;223.71;0.998166625;0.060525935;34.11;-55.9137;-5.91736
H13;4;C. eyrei_C. sclerophylla_C. glauca_L. glaber;204.38;0.841039033;-0.540974441;36.97;-15.6342;-82.6361
H14;1;P. massoniana;195.45;0.940050279;-0.341035881;37.56;-13.1637;-2.8836
H15;2;C. henryi_R. chinensis;189.01;0.895634159;-0.444791473;34.18;-25.6674;56.1455
H16;2;C. myrsinaefolia_L. glaber;181.43;0.941470556;-0.337095228;35.01;25.3361;-66.9974
H17;0;;177.14;0.958022886;-0.286691733;36.32;3.90919;31.8397
H17;0;;177.14;0.958022886;-0.286691733;36.32;3.90919;31.8397
H17;0;;177.14;0.958022886;-0.286691733;36.32;3.90919;31.8397
H17;0;;177.14;0.958022886;-0.286691733;36.32;3.90919;31.8397
H18;0;;170.32;0.944891798;-0.327382788;34.47;34.9396;-23.5783
H18;0;;170.32;0.944891798;-0.327382788;34.47;34.9396;-23.5783
H18;0;;170.32;0.944891798;-0.327382788;34.47;34.9396;-23.5783
H18;0;;170.32;0.944891798;-0.327382788;34.47;34.9396;-23.5783
H24;4;C. sclerophylla_C. camphora_L. formosana_M. azedarach;171.34;0.918928938;0.394423132;26.96;-37.4957;79.4078
H25;1;N. sinensis;170.79;0.996330375;-0.085590789;26.5;12.6921;-24.9178
H26;2;Ch. axillaris_S. sebiferum;178.09;0.71508297;0.699039589;31.1;37.341;-60.3201
H27;2;Ch. axillaris_S. sebiferum;181.32;0.419768973;-0.907630987;18.23;-89.1072;-0.64433
H28;0;;170.7;-0.132948302;-0.991122974;23.61;20.997;-5.15172
H29;0;;161.75;-0.191836792;-0.981426841;17.54;-4.05212;6.00501
H30;2;L. formosana_S. mukorossi;153.39;-0.083677789;-0.996492864;19.79;-6.5258;9.88509
H31;2;L. formosana_S. mukorossi;142.52;0.056170076;-0.998421215;22.49;-47.3803;4.54396
H8/I8;2;D. glaucifolia_N. sinensis;228.36;0.907044029;-0.421035782;35;-56.37;22.5378
H9/I9;16;C. henryi_C. carlesii_C. eyrei_C. sclerophylla_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_D. glaucifolia_L. formosana_L. glaber_Q. fabri_Q. serrata_S. discolor_S. sebiferum_S. superba;223.09;0.993571859;-0.113203185;36.64;-58.1975;-39.881
I11;8;C. henryi_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_N. sinensis_Q. acutissima_S. superba;208.76;0.984533778;-0.175194866;40.65;-14.596;-12.2191
I12;1;C. henryi;203.16;0.833403869;-0.552664447;35.93;-35.8365;58.9259
I13;2;S. discolor_S. superba;190.03;0.417232756;-0.908799663;33.16;-6.01597;49.5634
I14;0;;178.81;0.597065291;-0.802192644;28.42;40.5283;-64.2483
I14;0;;178.81;0.597065291;-0.802192644;28.42;40.5283;-64.2483
I14;0;;178.81;0.597065291;-0.802192644;28.42;40.5283;-64.2483
I14;0;;178.81;0.597065291;-0.802192644;28.42;40.5283;-64.2483
I15;0;;171.67;0.981892652;-0.18943817;26.83;53.6026;-85.0212
I15;0;;171.67;0.981892652;-0.18943817;26.83;53.6026;-85.0212
I15;0;;171.67;0.981892652;-0.18943817;26.83;53.6026;-85.0212
I15;0;;171.67;0.981892652;-0.18943817;26.83;53.6026;-85.0212
I16;0;;167.44;0.758361941;-0.651833696;24.96;15.9554;90.9818
I16;0;;167.44;0.758361941;-0.651833696;24.96;15.9554;90.9818
I16;0;;167.44;0.758361941;-0.651833696;24.96;15.9554;90.9818
I16;0;;167.44;0.758361941;-0.651833696;24.96;15.9554;90.9818
I26;2;Ch. axillaris_S. sebiferum;170.06;0.275133998;0.961405889;30.88;3.11111;59.2478
I27;2;Ch. axillaris_S. sebiferum;179.67;0.872751746;-0.488164306;17.88;-75.0493;70.238
I28;1;L. formosana;170.77;0.171757214;-0.98513931;23.69;7.38155;26.8458
I29;1;L. formosana;161.41;0.366663654;-0.93035357;20.12;-13.4952;-6.15568
I3;2;C. sclerophylla_C. myrsinaefolia;266.34;0.063487311;-0.997982646;31.63;-46.0102;-6.16324
I30;8;A. davidii_C. carlesii_C. eyrei_C. camphora_C. myrsinaefolia_K. bipinnata_L. glaber_M. azedarach;152.94;0.35918256;-0.933267319;21.23;-12.8204;36.4436
I4;0;free plot;251.36;0.519370011;-0.854549467;33.14;-62.9853;-73.849
I5;0;free plot;243.28;0.955690327;-0.294373912;27.61;119.371;-154.704
I6;0;free plot;237.66;0.750111096;-0.661311836;26.32;39.8144;22.958
J13;4;C. carlesii_C. glauca_S. discolor_S. sebiferum;180.15;0.938312108;-0.345789515;34.05;-14.5886;63.1912
J14;8;C. carlesii_C. eyrei_C. sclerophylla_C. camphora_C. glauca_C. myrsinaefolia_L. glaber_S. superba;174.12;0.665490971;-0.7464059;26.44;-7.89622;68.699
J19;1;S. superba;170.07;-0.97216585;0.234293746;35.37;-47.8221;36.0518
J20;1;S. superba;172.2;-0.999742611;0.022687253;37.96;-12.4513;10.0415
J21;2;K. bipinnata_L. glaber;172.77;-0.998806134;-0.048849849;37.2;-28.5378;24.757
J22;2;K. bipinnata_L. glaber;166.91;-0.823829466;-0.566837729;37.73;-21.9197;27.0132
