PLOT_NO;TREE_R;TREE_CMP;ALTITUDE;EASTNESS;NORTHNESS;SLOPE;CURV_PR;CURV_PL
P7;1;R. chinensis;214.09;-0.573004368;-0.819552313;35.34;12.6104;-27.7337
P8;1;C. myrsinaefolia;201.78;-0.287193288;-0.957872651;25.2;81.7559;-3.03891
Q10;2;C. eyrei_C. myrsinaefolia;193.81;-0.631082007;-0.775716121;31.04;4.2941;28.7053
Q13;1;K. bipinnata;186.36;-0.904529619;0.426410797;30.69;13.849;-20.9636
Q14;1;C. glauca;193.28;-0.932953566;0.359996727;34.13;-20.5862;23.3791
Q15;1;C. glauca;194.18;-0.952182709;-0.305529194;35.58;-58.2812;53.9288
Q16;1;Q. fabri;186.42;-0.901455086;-0.432872647;33.17;-29.7313;6.47813
Q19;4;C. henryi_L. formosana_N. sinensis_S. mukorossi;221.83;0.75390748;0.656980602;33.09;40.4008;-26.8274
Q20;4;C. henryi_L. formosana_N. sinensis_S. mukorossi;230.66;-0.3173046;-0.948323674;19.59;-135.097;47.8445
Q21;2;C. glauca_Q. fabri;222.07;-0.831760355;-0.555134859;36.67;-25.0885;-22.9604
Q22;2;C. glauca_Q. fabri;212.46;-0.868544992;-0.495610328;35.66;1.28512;9.68374
Q23;2;R. chinensis_S. superba;208.19;-0.991490374;0.130180023;30.71;1.05933;-36.0359
Q24;2;R. chinensis_S. superba;209.2;-0.971424961;-0.23734689;27.35;-25.9338;48.1579
Q25;1;C. camphora;203.59;-0.754251336;-0.656585807;23.24;5.60411;25.753
Q7;2;K. bipinnata_L. glaber;232;-0.74675423;-0.665100082;40.82;16.2702;10.0331
Q8;8;C. carlesii_Ch. axillaris_D. oldhamii_D. glaucifolia_L. formosana_L. glaber_Q. serrata_S. superba;217.35;-0.755167367;-0.655532034;38.98;22.6614;-28.6679
Q9;2;C. eyrei_C. myrsinaefolia;205.27;-0.77162454;-0.636078273;35.34;-19.1539;24.1636
R10;2;C. eyrei_C. myrsinaefolia;201.58;-0.269087864;-0.963115632;31.8;-15.2017;39.5823
R13;8;C. carlesii_C. eyrei_C. sclerophylla_C. camphora_C. glauca_C. myrsinaefolia_L. glaber_S. superba;199.29;-0.841887784;0.539652628;30.17;-30.3582;21.9095
R14;1;C. glauca;206.92;-0.897566419;0.440879262;29.02;10.652;-0.2411
R15;1;C. glauca;207.52;-0.888457047;-0.458959777;25.06;14.1218;55.4912
R16;8;C. henryi_C. sclerophylla_Ch. axillaris_L. formosana_N. sinensis_Q. serrata_S. mukorossi_S. sebiferum;202.15;-0.971796586;-0.235820687;32.93;23.4271;-41.0119
R17;1;S. mukorossi;201.46;-0.991693637;0.128622433;38.48;-27.02;7.99225
R18;24;all 24 species;206.64;-0.870011751;0.493030985;30.44;-21.7666;-46.2517
R20;2;A. davidii_Q. acutissima;232.1;0.69953866;-0.714594755;25.05;-25.6508;-1.51442
R21;1;C. lanceolata;235.49;-0.932764886;-0.360485321;24.14;-58.1361;57.5033
R7;4;C. eyrei_C. glauca_C. myrsinaefolia_L. glaber;245.58;-0.581980996;-0.813202386;28.86;-111.622;59.6973
R8;8;C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_L. glaber_Q. serrata_S. superba;231.35;-0.531989799;-0.846750762;34.68;-54.7181;77.7604
R9;2;C. eyrei_C. myrsinaefolia;216.08;-0.419452027;-0.907777504;31.81;17.0172;56.2986
S10;8;C. henryi_C. sclerophylla_Ch. axillaris_L. formosana_N. sinensis_Q. serrata_S. mukorossi_S. sebiferum;203.98;-0.142283373;-0.989825966;32.13;-0.87799;-34.2941
S13;8;A. davidii_C. henryi_C. sclerophylla_C. camphora_L. formosana_M. azedarach_Q. acutissima_R. chinensis;210.99;-0.745592382;0.666402281;30.82;11.0049;26.8009
S14;8;C. eyrei_C. glauca_C. myrsinaefolia_K. bipinnata_L. glaber_Q. fabri_R. chinensis_S. superba;219.64;-0.916572261;0.399869091;30.65;0.09795;15.176
S15;8;C. eyrei_C. glauca_C. myrsinaefolia_K. bipinnata_L. glaber_Q. fabri_R. chinensis_S. superba;219.47;-0.964833197;-0.262862897;32.68;-14.2521;-10.0384
S16;4;C. eyrei_C. glauca_C. myrsinaefolia_L. glaber;218.82;-0.992715356;0.120483287;36.84;30.2085;-62.2775
S17;2;C. eyrei_K. bipinnata;221.34;-0.99526141;0.097235412;38.02;5.01739;38.8055
S18;2;Ch. axillaris_S. sebiferum;221.78;-0.999884719;-0.015183861;33.6;9.52935;-2.14231
S19;2;L. formosana_M. azedarach;223.37;-0.996971872;0.077763016;29.13;85.1582;-56.2394
S20;16;A. davidii_C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_C. glauca_D. oldhamii_L. formosana_Q. acutissima_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. discolor_S. superba;233.47;-0.993109416;-0.117190822;31.19;-6.76265;-154.173
S8;2;C. sclerophylla_C. myrsinaefolia;238.31;-0.329690589;-0.94408904;33.46;-43.5355;-0.459
S9;8;C. henryi_C. sclerophylla_Ch. axillaris_L. formosana_N. sinensis_Q. serrata_S. mukorossi_S. sebiferum;220.12;-0.202274492;-0.979328867;33.29;50.1723;-46.1804
T10;8;C. henryi_C. sclerophylla_Ch. axillaris_L. formosana_N. sinensis_Q. serrata_S. mukorossi_S. sebiferum;208.5;-0.423883239;-0.905716843;36.69;-11.6923;-1.46474
T13;8;C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_D. oldhamii_L. formosana_L. glaber;218.75;-0.874535044;-0.484962326;32.63;-15.1906;33.5273
T14;8;C. eyrei_C. glauca_C. myrsinaefolia_K. bipinnata_L. glaber_Q. fabri_R. chinensis_S. superba;231.8;-0.737984472;0.674817694;28.97;-23.4411;51.9489
T15;8;C. eyrei_C. glauca_C. myrsinaefolia_K. bipinnata_L. glaber_Q. fabri_R. chinensis_S. superba;236.39;-0.998629539;0.052335875;33.79;-16.5095;24.8296
T16;8;C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_L. glaber_Q. serrata_S. superba;239.75;-0.988174932;0.153330702;38.34;-27.6942;-2.79282
T17;2;L. formosana_S. mukorossi;242.05;-0.999194392;-0.040131872;34.85;-29.1987;21.6825
T18;1;S. superba;240.76;-0.998351844;-0.057389862;34.33;1.59372;-41.9565
T9;8;C. henryi_C. sclerophylla_Ch. axillaris_L. formosana_N. sinensis_Q. serrata_S. mukorossi_S. sebiferum;225.81;-0.460664526;-0.887574332;37.99;40.2448;2.48782
U10;16;C. henryi_C. eyrei_C. sclerophylla_Ch. axillaris_C. glauca_C. myrsinaefolia_K. bipinnata_L. formosana_L. glaber_N. sinensis_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. sebiferum_S. superba;222.94;-0.668222135;-0.743961812;41.43;-12.8704;2.20166
U11;1;C. lanceolata;206.95;-0.824323812;-0.566118586;35.12;22.1936;-48.4217
U14;2;C. myrsinaefolia_L. glaber;231.88;0.48022349;0.877146168;35.42;-31.5404;25.8309
U15;4;C. glauca_Q. fabri_R. chinensis_S. superba;247.89;0.110081314;-0.993922585;27.55;-61.9281;58.9547
U16;2;C. sclerophylla_C. camphora;256.64;-0.980683013;0.195603751;22.5;-25.3259;91.2501
U17;1;P. massoniana;257.53;-0.983031517;-0.183436738;21.75;5.99937;13.324
U18;16;C. henryi_C. carlesii_C. eyrei_C. sclerophylla_Ch. axillaris_C. camphora_C. glauca_C. myrsinaefolia_D. oldhamii_D. glaucifolia_L. formosana_L. glaber_Q. fabri_Q. serrata_R. chinensis_S. superba;255.91;-0.983223072;-0.182407209;19.87;26.0711;16.6998
V10;0;free plot;237.45;-0.712760901;-0.701407084;36.49;-60.455;-0.20238
V11/W11;4;C. eyrei_C. myrsinaefolia_K. bipinnata_L. glaber;231.56;-0.639036299;-0.769176578;37.57;-32.1917;39.577
V12/W12;4;C. eyrei_C. myrsinaefolia_K. bipinnata_L. glaber;217.56;-0.883928881;-0.467621357;33.09;19.2016;-51.7745
V16;16;A. davidii_C. henryi_C. carlesii_C. eyrei_Ch. axillaris_C. glauca_C. myrsinaefolia_D. glaucifolia_L. formosana_L. glaber_Q. acutissima_Q. fabri_Q. serrata_R. chinensis_S. mukorossi_S. discolor;258.59;0.996118259;0.088025079;25.27;-13.5163;15.0708
W11/X11;4;C. eyrei_C. myrsinaefolia_K. bipinnata_L. glaber;240.5;-0.667052699;-0.745010535;28.98;-29.6143;-67.7208
W12/X12;4;C. eyrei_C. myrsinaefolia_K. bipinnata_L. glaber;232.92;-0.96999942;-0.243107229;35.87;-1.41637;-65.5583
W13;1;S. sebiferum;225.07;-0.895323441;0.445416587;33.98;11.3487;-50.6816
W14;1;N. sinensis;231.69;-0.88845712;0.458959634;29.02;8.51775;26.0454
W15;1;N. sinensis;240.62;-0.969956975;-0.243276522;27.57;36.264;-81.3403
X13;2;C. sclerophylla_C. glauca;240.96;-0.930673239;0.365851503;29.23;-100.463;8.18507
X14;1;N. sinensis;246.13;-0.912905466;0.408171055;27.71;2.45866;12.9977
X15;1;N. sinensis;251.58;-0.873517502;0.486792742;27.42;26.7098;-38.233
X16;0;free plot;258.54;-0.897566419;0.440879262;22.67;-53.0092;42.6714
